TransactionID,Date,Amount,Category,Description
TXN-0001,2026-08-27,262.37,Hardware,Mock expense
TXN-0002,2026-08-19,466.34,Marketing,Mock expense
TXN-0003,2026-08-24,362.64,Marketing,Mock expense
TXN-0004,2026-08-31,61.89,Travel,Mock expense
TXN-0005,2026-09-04,300.16,Marketing,Mock expense
TXN-0006,2026-08-20,321.56,Travel,Mock expense
TXN-0007,2026-09-02,148.65,Office Supplies,Mock expense
TXN-0008,2026-08-22,467.42,Hardware,Mock expense
TXN-0009,2026-08-19,105.31,Marketing,Mock expense
TXN-0010,2026-09-09,58.82,Marketing,Mock expense
TXN-0011,2026-09-06,266.42,Travel,Mock expense
TXN-0012,2026-09-06,330.26,Software,Mock expense
TXN-0013,2026-08-21,187.98,Marketing,Mock expense
TXN-0014,2026-08-19,103.22,Office Supplies,Mock expense
TXN-0015,2026-09-03,486.78,Travel,Mock expense
TXN-0016,2026-09-14,221.67,Travel,Mock expense
TXN-0017,2026-09-13,485.67,Software,Mock expense
TXN-0018,2026-08-31,227.18,Travel,Mock expense
TXN-0019,2026-09-11,115.44,Marketing,Mock expense
TXN-0020,2026-09-14,76.02,Marketing,Mock expense
TXN-0021,2026-08-27,187.03,Office Supplies,Mock expense
TXN-0022,2026-08-28,47.16,Marketing,Mock expense
TXN-0023,2026-09-12,117.55,Software,Mock expense
TXN-0024,2026-09-12,166.42,Office Supplies,Mock expense
TXN-0025,2026-09-14,490.25,Travel,Mock expense
TXN-0026,2026-08-18,344.73,Hardware,Mock expense
TXN-0027,2026-08-30,221.06,Hardware,Mock expense
TXN-0028,2026-08-19,100.33,Software,Mock expense
TXN-0029,2026-08-25,32.79,Software,Mock expense
TXN-0030,2026-09-09,378.69,Marketing,Mock expense
TXN-0031,2026-09-06,439.01,Travel,Mock expense
TXN-0032,2026-09-03,207.13,Software,Mock expense
TXN-0033,2026-09-06,41.63,Software,Mock expense
TXN-0034,2026-08-30,411.8,Hardware,Mock expense
TXN-0035,2026-08-29,370.79,Travel,Mock expense
TXN-0036,2026-09-05,45.09,Marketing,Mock expense
TXN-0037,2026-08-24,41.35,Marketing,Mock expense
TXN-0038,2026-08-24,168.45,Software,Mock expense
TXN-0039,2026-09-07,268.09,Marketing,Mock expense
TXN-0040,2026-09-01,167.95,Marketing,Mock expense
TXN-0041,2026-08-25,12.54,Software,Mock expense
